bioproject,total_biosamples,number_tests,number_permutation_tests,number_metadata_sets,number_groups,num_skipped_groups,max_memory_usage,avg_memory_usage,avg_perms_memory_usage,total_memory_usage,max_runtime,avg_runtime,avg_perms_memory_usage,total_runtime
PRJDB12701,1846,255.0,111,85.0,3,0.0,444632892,193616290.4627451,444630711.1891892,49372154068,0.8243365287780762,0.2901659236234777,0.6445621477591025,73.99231052398682
PRJDB14264,4917,8046.0,1239,2682.0,3,0.0,1181821708,182199416.52933136,1181819492.6497176,1465976505395,2.1764204502105717,0.2563252385030657,1.5323988500384191,2062.3928689956665
PRJDB2329,14,24.0,3,8.0,3,0.0,1561869,253136.66666666666,1561714.3333333333,6075280,0.1453423500061035,0.021920770406722977,0.13882136344909665,0.5260984897613514
PRJEB13362,154,774.0,396,258.0,3,0.0,38470390,19715840.554263566,38468133.853535354,15260060589,0.2849745750427246,0.09843583008423637,0.18705141122895058,76.18933248519895
PRJEB15144,1090,2868.0,1014,956.0,3,0.0,263156014,93104566.00313808,263153349.4822485,267023895297,0.7506287097930908,0.1586198463433291,0.42898419857965653,454.92171931266785
PRJEB25118,570,636.0,177,212.0,3,0.0,138330892,38557681.9072327,138328420.0564972,24522685693,0.4133293628692627,0.08359459173754323,0.280787981162637,53.16616034507749
PRJEB34320,164,330.0,288,110.0,3,0.0,40870965,35676267.415151514,40868712.81944445,11773168247,0.2986023426055908,0.16990042599764732,0.19379889716704687,56.06714057922362
PRJEB36802,652,2187.0,1347,729.0,3,0.0,158014734,97355031.2354824,158012351.4216778,212915453312,0.5091309547424316,0.21117051747709745,0.33749796499919255,461.8299217224121
PRJEB45375,8542,6117.0,3060,2039.0,3,0.0,2052000343,1026736286.0456105,2051997928.327451,6280545861741,3.333813428878784,1.2301179422590884,2.4015226139741785,7524.631452798843
PRJEB48206,583,942.0,372,314.0,3,0.0,141451166,55909792.31210191,141448879.17204303,52667024358,0.4473133087158203,0.12028209950513898,0.2925006196063052,113.30573773384091
PRJEB49489,876,873.0,519,291.0,3,0.0,211785712,125943902.86827034,211783478.40077072,109949027204,0.5100059509277344,0.21177663644701072,0.34983547712337076,184.88100361824036
